form_number,description,forms_received,approvals,denials,pending,pending_over_6_months,source_file,processing_time_days,month,year,seasonal_index,form_avg_processing_time,backlog_ratio
2,3,19354.0,2265.0,207.0,302775.0,167277.0,appropriation_requirement_july_2025 (1).csv,348.0,july,2025,374.3181818181818,401.2173913043478,15.643244639628003
2,4,11991.0,12520.0,954.0,176266.0,134649.0,appropriation_requirement_july_2025 (1).csv,288.0,july,2025,374.3181818181818,401.2173913043478,14.698632421614409
2,5,48064.0,52181.0,6556.0,576735.0,365642.0,appropriation_requirement_july_2025 (1).csv,264.0,july,2025,374.3181818181818,401.2173913043478,11.999063767814418
2,6,1923.0,1971.0,328.0,54757.0,46804.0,appropriation_requirement_july_2025 (1).csv,666.0,july,2025,374.3181818181818,401.2173913043478,28.45997920997921
2,7,9261.0,987.0,64.0,78117.0,30489.0,appropriation_requirement_july_2025 (1).csv,381.0,july,2025,374.3181818181818,401.2173913043478,8.434139494709566
3,10,13393.0,10413.0,222.0,258982.0,177959.0,appropriation_requirement_july_2025 (1).csv,576.0,july,2025,374.3181818181818,692.3478260869565,19.33567268926385
4,0,374325.0,294232.0,30710.0,1859361.0,672052.0,appropriation_requirement_july_2025 (1).csv,75.0,july,2025,374.3181818181818,99.0,4.96722375683228
5,1,80119.0,72334.0,7743.0,532052.0,110789.0,appropriation_requirement_july_2025 (1).csv,192.0,july,2025,374.3181818181818,187.43478260869566,6.640688966550175
0,8,68904.0,58269.0,8774.0,2176394.0,1701143.0,appropriation_requirement_june_2024 (1).csv,414.0,june,2024,376.90909090909093,505.69565217391306,31.585429214135402
1,9,13089.0,5699.0,433.0,165754.0,115315.0,appropriation_requirement_june_2024 (1).csv,330.0,june,2024,376.90909090909093,295.69565217391306,12.662643239113827
2,2,5567.0,2185.0,110.0,86335.0,51811.0,appropriation_requirement_june_2024 (1).csv,516.0,june,2024,376.90909090909093,401.2173913043478,15.505567528735632
2,3,13397.0,10731.0,1322.0,152360.0,87976.0,appropriation_requirement_june_2024 (1).csv,180.0,june,2024,376.90909090909093,401.2173913043478,11.371846544260338
2,4,6667.0,12307.0,1053.0,191795.0,142268.0,appropriation_requirement_june_2024 (1).csv,351.0,june,2024,376.90909090909093,401.2173913043478,28.763497300539893
2,5,33171.0,38896.0,4046.0,528841.0,326294.0,appropriation_requirement_june_2024 (1).csv,327.0,june,2024,376.90909090909093,401.2173913043478,15.942391173278669
2,6,2600.0,2151.0,252.0,58327.0,42441.0,appropriation_requirement_june_2024 (1).csv,522.0,june,2024,376.90909090909093,401.2173913043478,22.424836601307188
2,7,3374.0,477.0,98.0,41236.0,22500.0,appropriation_requirement_june_2024 (1).csv,633.0,june,2024,376.90909090909093,401.2173913043478,12.218074074074075
3,10,4787.0,9908.0,397.0,236111.0,187621.0,appropriation_requirement_june_2024 (1).csv,726.0,june,2024,376.90909090909093,692.3478260869565,49.313074352548036
4,0,350623.0,333301.0,37557.0,1313855.0,556542.0,appropriation_requirement_june_2024 (1).csv,90.0,june,2024,376.90909090909093,99.0,3.7471907228255907
5,1,74586.0,69705.0,5664.0,465136.0,76207.0,appropriation_requirement_june_2024 (1).csv,168.0,june,2024,376.90909090909093,187.43478260869566,6.2361537533350315
0,8,77112.0,77411.0,9414.0,2411946.0,1928316.0,appropriation_requirement_june_2025 (1).csv,417.0,june,2025,376.90909090909093,505.69565217391306,31.278072439147746
1,9,8643.0,4718.0,773.0,217571.0,173348.0,appropriation_requirement_june_2025 (1).csv,294.0,june,2025,376.90909090909093,295.69565217391306,25.17017584451643
2,2,5719.0,952.0,87.0,87287.0,51589.0,appropriation_requirement_june_2025 (1).csv,468.0,june,2025,376.90909090909093,401.2173913043478,15.259965034965035
2,3,21510.0,1647.0,277.0,286309.0,148186.0,appropriation_requirement_june_2025 (1).csv,348.0,june,2025,376.90909090909093,401.2173913043478,13.309887964297337
2,4,9383.0,11199.0,968.0,177711.0,138329.0,appropriation_requirement_june_2025 (1).csv,303.0,june,2025,376.90909090909093,401.2173913043478,18.937659846547316
2,5,41900.0,47713.0,5595.0,586762.0,365530.0,appropriation_requirement_june_2025 (1).csv,267.0,june,2025,376.90909090909093,401.2173913043478,14.003532135271234
2,6,1734.0,1667.0,291.0,55038.0,46623.0,appropriation_requirement_june_2025 (1).csv,672.0,june,2025,376.90909090909093,401.2173913043478,31.722190201729106
2,7,7584.0,613.0,98.0,69887.0,26314.0,appropriation_requirement_june_2025 (1).csv,363.0,june,2025,376.90909090909093,401.2173913043478,9.213843111404087
3,10,12795.0,7299.0,235.0,256168.0,173881.0,appropriation_requirement_june_2025 (1).csv,633.0,june,2025,376.90909090909093,692.3478260869565,20.01938105658018
4,0,358919.0,275035.0,24585.0,1813690.0,541870.0,appropriation_requirement_june_2025 (1).csv,75.0,june,2025,376.90909090909093,99.0,5.053187339797169
5,1,80259.0,70704.0,7105.0,532310.0,112551.0,appropriation_requirement_june_2025 (1).csv,195.0,june,2025,376.90909090909093,187.43478260869566,6.632319960129579
0,8,121485.0,56064.0,4491.0,2121601.0,1647909.0,appropriation_requirement_march_2024.csv,507.0,march,2024,389.3181818181818,505.69565217391306,17.463748909339348
1,9,11557.0,7938.0,463.0,148538.0,102539.0,appropriation_requirement_march_2024.csv,240.0,march,2024,389.3181818181818,295.69565217391306,12.851531406817788
2,2,7457.0,2024.0,198.0,74314.0,42485.0,appropriation_requirement_march_2024.csv,639.0,march,2024,389.3181818181818,401.2173913043478,9.964333601501743
2,3,18544.0,19759.0,196.0,168586.0,75597.0,appropriation_requirement_march_2024.csv,126.0,march,2024,389.3181818181818,401.2173913043478,9.09064437853869
2,4,12173.0,9941.0,1140.0,207827.0,141778.0,appropriation_requirement_march_2024.csv,348.0,march,2024,389.3181818181818,401.2173913043478,17.071381632988334
2,5,47194.0,34488.0,4006.0,528587.0,329529.0,appropriation_requirement_march_2024.csv,387.0,march,2024,389.3181818181818,401.2173913043478,11.200063566055727
2,6,2988.0,2660.0,336.0,58330.0,41313.0,appropriation_requirement_march_2024.csv,522.0,march,2024,389.3181818181818,401.2173913043478,19.51488792238207
2,7,2737.0,816.0,196.0,32236.0,18000.0,appropriation_requirement_march_2024.csv,642.0,march,2024,389.3181818181818,401.2173913043478,11.773557341124908
3,10,10129.0,11186.0,509.0,248868.0,191033.0,appropriation_requirement_march_2024.csv,771.0,march,2024,389.3181818181818,692.3478260869565,24.567423494570583
4,0,483391.0,430754.0,39313.0,1406846.0,581623.0,appropriation_requirement_march_2024.csv,114.0,march,2024,389.3181818181818,99.0,2.9103626042632067
5,1,123151.0,76755.0,6475.0,465561.0,86296.0,appropriation_requirement_march_2024.csv,183.0,march,2024,389.3181818181818,187.43478260869566,3.780377094972067
0,8,91037.0,63556.0,6249.0,2408119.0,1892511.0,appropriation_requirement_march_2025 (1).csv,567.0,march,2025,389.3181818181818,505.69565217391306,26.451800347107802
1,9,9641.0,7722.0,580.0,207378.0,155464.0,appropriation_requirement_march_2025 (1).csv,306.0,march,2025,389.3181818181818,295.69565217391306,21.507778469197262
2,2,6126.0,6922.0,208.0,72181.0,37477.0,appropriation_requirement_march_2025 (1).csv,345.0,march,2025,389.3181818181818,401.2173913043478,11.780806267341276
2,3,26187.0,8065.0,302.0,225208.0,114521.0,appropriation_requirement_march_2025 (1).csv,249.00000000000003,march,2025,389.3181818181818,401.2173913043478,8.599663968229724
2,4,6505.0,7336.0,1398.0,185050.0,132362.0,appropriation_requirement_march_2025 (1).csv,360.0,march,2025,389.3181818181818,401.2173913043478,28.44297571472487
2,5,42729.0,21233.0,4868.0,592146.0,346432.0,appropriation_requirement_march_2025 (1).csv,459.0,march,2025,389.3181818181818,401.2173913043478,13.857851626491927
2,6,1669.0,2126.0,374.0,56892.0,46880.0,appropriation_requirement_march_2025 (1).csv,606.0,march,2025,389.3181818181818,401.2173913043478,34.06706586826348
