form_number,description,forms_received,approvals,denials,pending,pending_over_6_months,source_file,processing_time_days
3,10,4787.0,9908.0,397.0,236111.0,187621.0,appropriation_requirement_june_2024 (1).csv,726.0
4,0,350623.0,333301.0,37557.0,1313855.0,556542.0,appropriation_requirement_june_2024 (1).csv,90.0
5,1,74586.0,69705.0,5664.0,465136.0,76207.0,appropriation_requirement_june_2024 (1).csv,168.0
0,8,77112.0,77411.0,9414.0,2411946.0,1928316.0,appropriation_requirement_june_2025 (1).csv,417.0
1,9,8643.0,4718.0,773.0,217571.0,173348.0,appropriation_requirement_june_2025 (1).csv,294.0
2,2,5719.0,952.0,87.0,87287.0,51589.0,appropriation_requirement_june_2025 (1).csv,468.0
2,3,21510.0,1647.0,277.0,286309.0,148186.0,appropriation_requirement_june_2025 (1).csv,348.0
2,4,9383.0,11199.0,968.0,177711.0,138329.0,appropriation_requirement_june_2025 (1).csv,303.0
2,5,41900.0,47713.0,5595.0,586762.0,365530.0,appropriation_requirement_june_2025 (1).csv,267.0
2,6,1734.0,1667.0,291.0,55038.0,46623.0,appropriation_requirement_june_2025 (1).csv,672.0
2,7,7584.0,613.0,98.0,69887.0,26314.0,appropriation_requirement_june_2025 (1).csv,363.0
3,10,12795.0,7299.0,235.0,256168.0,173881.0,appropriation_requirement_june_2025 (1).csv,633.0
4,0,358919.0,275035.0,24585.0,1813690.0,541870.0,appropriation_requirement_june_2025 (1).csv,75.0
5,1,80259.0,70704.0,7105.0,532310.0,112551.0,appropriation_requirement_june_2025 (1).csv,195.0
0,8,121485.0,56064.0,4491.0,2121601.0,1647909.0,appropriation_requirement_march_2024.csv,506.99999999999994
1,9,11557.0,7938.0,463.0,148538.0,102539.0,appropriation_requirement_march_2024.csv,240.0
2,2,7457.0,2024.0,198.0,74314.0,42485.0,appropriation_requirement_march_2024.csv,639.0
2,3,18544.0,19759.0,196.0,168586.0,75597.0,appropriation_requirement_march_2024.csv,126.0
2,4,12173.0,9941.0,1140.0,207827.0,141778.0,appropriation_requirement_march_2024.csv,348.0
2,5,47194.0,34488.0,4006.0,528587.0,329529.0,appropriation_requirement_march_2024.csv,387.0
2,6,2988.0,2660.0,336.0,58330.0,41313.0,appropriation_requirement_march_2024.csv,522.0
2,7,2737.0,816.0,196.0,32236.0,18000.0,appropriation_requirement_march_2024.csv,642.0
3,10,10129.0,11186.0,509.0,248868.0,191033.0,appropriation_requirement_march_2024.csv,771.0
4,0,483391.0,430754.0,39313.0,1406846.0,581623.0,appropriation_requirement_march_2024.csv,114.0
5,1,123151.0,76755.0,6475.0,465561.0,86296.0,appropriation_requirement_march_2024.csv,183.0
0,8,91037.0,63556.0,6249.0,2408119.0,1892511.0,appropriation_requirement_march_2025 (1).csv,567.0
1,9,9641.0,7722.0,580.0,207378.0,155464.0,appropriation_requirement_march_2025 (1).csv,306.0
2,2,6126.0,6922.0,208.0,72181.0,37477.0,appropriation_requirement_march_2025 (1).csv,345.0
2,3,26187.0,8065.0,302.0,225208.0,114521.0,appropriation_requirement_march_2025 (1).csv,249.00000000000003
2,4,6505.0,7336.0,1398.0,185050.0,132362.0,appropriation_requirement_march_2025 (1).csv,360.0
2,5,42729.0,21233.0,4868.0,592146.0,346432.0,appropriation_requirement_march_2025 (1).csv,459.0
2,6,1669.0,2126.0,374.0,56892.0,46880.0,appropriation_requirement_march_2025 (1).csv,606.0
2,7,7844.0,4682.0,89.0,48156.0,17081.0,appropriation_requirement_march_2025 (1).csv,240.0
3,10,16272.0,6603.0,374.0,236840.0,164568.0,appropriation_requirement_march_2025 (1).csv,657.0
4,0,528151.0,297357.0,22488.0,2100110.0,930417.0,appropriation_requirement_march_2025 (1).csv,105.0
5,1,96982.0,83989.0,8034.0,538903.0,128946.0,appropriation_requirement_march_2025 (1).csv,192.0
0,8,144708.0,60642.0,18457.0,2168804.0,1680112.0,appropriation_requirement_may_2024 (1).csv,429.0
1,9,13499.0,7023.0,531.0,158802.0,111290.0,appropriation_requirement_may_2024 (1).csv,297.0
2,2,5518.0,2018.0,163.0,83081.0,48248.0,appropriation_requirement_may_2024 (1).csv,573.0
